"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"705","Marshall","BENTON STP & CS","Outfall To Surface Waters",4200,NA,NA,NA,0.73,NA,"Kentucky Lake","North American Datum of 1983",0.00238419229034031,c(-88.3436, 36.8647),64520,"06040005","060400060402","06040006"
"706","Cole","ALGOA REGIONAL WWTF","Outfall To Surface Waters",4200,0.63,NA,NA,0.63,NA,"Lower Missouri-Moreau","North American Datum of 1983",0.00238419229034031,c(-92.0581, 38.5004),63074,"10300102","102901110406","10290111"
"707","Roscommon","ROSCOMMON TWP WWTF","Outfall To Surface Waters",4199,0.33,NA,NA,0.33,NA,"Au Sable","North American Datum of 1983",0.00238348840606259,c(-84.7935, 44.3166),28431,"04070007","040601020209","04060102"
"708","Clare","CLARE WWTP","Outfall To Surface Waters",4192,0.53,0.05,NA,0.58,NA,"Muskegon","North American Datum of 1983",0.00237856234297753,c(-84.7484, 43.825),54315,"04060102","040802010303","04080201"
"709","Imperial","IMPERIAL WWTF","Outfall To Surface Waters",4188,0.38,NA,NA,0.38,NA,"Salton Sea","North American Datum of 1983",0.00237574833581714,c(-115.5639, 32.8537),23134,"18100200","181002040801","18100204"
"710","Tillman","FREDERICK (EAST) WWT","Outfall To Surface Waters",4173,0.44,NA,NA,0.44,NA,"Blue-China","North American Datum of 1983",0.00236520155706497,c(-98.9846, 34.3821),19276,"11130102","111302030203","11130203"
"711","Scott","BELLE PLAINE STP","Outfall To Surface Waters",4167,NA,NA,NA,0.49,NA,"Middle Minnesota","North American Datum of 1983",0.00236098539068249,c(-93.7633, 44.6217),60656,"07020007","070200120902","07020012"
"712","Sullivan","SUNAPEE WWTF","Outfall To Surface Waters",4161,0.346,NA,NA,0.346,0.634,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00235677068103927,c(-72.1113, 43.3789),22818,"01080104","010801060405","01080106"
"713","Franklin","Tupper Lake (V) WWTP","Outfall To Surface Waters",4160,1.2,NA,NA,1.2,NA,"Raquette","North American Datum of 1983",0.00235606837117151,c(-74.4802, 44.2336),45465,"04150305","042900050409","04290005"
"714","Harris","Dove Meadows Regional WWTP","Outfall To Surface Waters",4150,0.44,NA,NA,0.44,NA,"Spring","North American Datum of 1983",0.00234904750213554,c(-95.3649, 29.7569),97301,"12040102","120401040703","12040104"
"715","Concordia","FERRIDAY SOUTHWEST  WWTP","Outfall To Surface Waters",4111,0.58,NA,NA,0.58,NA,"Bayou Cocodrie","North American Datum of 1927",0.00232170496645718,c(-91.5669, 30.615),32068,"08040306","080703000103","08070300"
"716","Harris","Mill Ridge WWTP","Outfall To Surface Waters",4100,0.43,NA,NA,0.43,NA,"Spring","North American Datum of 1983",0.00231400419278816,c(-95.4442, 29.639),97223,"12040102","120401040501","12040104"
"717","Boyd","CATLETTSBURG","Outfall To Surface Waters",4100,0.3,NA,0.1,0.4,NA,"Little Scioto-Tygarts","North American Datum of 1983",0.00231400419278816,c(-82.5999, 38.4015),18285,"05090103","050702040406","05070204"
"718","Wright","DELANO STP","Outfall To Surface Waters",4099,0.864,0.03,NA,0.894,NA,"South Fork Crow","North American Datum of 1983",0.0023133043681022,c(-93.7798, 45.3018),60019,"07010205","070102030605","07010203"
"719","Essex","Lake Placid (V) Sewers & STP","Outfall To Surface Waters",4095,0.5,NA,0.225,0.725,NA,"Ausable","North American Datum of 1983",0.00231050547917577,c(-73.9731, 44.2745),44750,"02010004","043001040201","04300104"
"720","St. Clair","LEBANON STP","Outfall To Surface Waters",4057,0.467,NA,NA,0.467,NA,"Lower Kaskaskia","North American Datum of 1983",0.00228394882512264,c(-90.1651, 38.6242),100663,"07140204","071401010403","07140101"
"721","Montgomery","WILLIS STP","Outfall To Surface Waters",4020,0.61,NA,NA,0.61,NA,"East Fork San Jacinto","North American Datum of 1983",0.00225814832572521,c(-95.4678, 30.3892),17977,"12040103","120401010403","12040101"
"722","Jefferson","Genesee Water & San District","Outfall To Surface Waters",4010,0.24,NA,NA,0.24,NA,"Clear","North American Datum of 1983",0.00225118497362405,c(-105.2732, 39.6743),57368,"10190004","101900020806","10190002"
"723","Cumberland","SOUTH MIDDLETON TWP STP","Outfall To Surface Waters",4007,0.26,NA,NA,0.26,NA,"Lower Susquehanna","North American Datum of 1983",0.0022490967800724,c(-77.0936, 40.149),42962,"02050306","020503050504","02050305"
"724","Horry","NORTH PLANT 'A' (VEREEN)","Outfall To Surface Waters",4000,2.5,NA,NA,2.5,NA,"Waccamaw","North American Datum of 1983",0.00224422578787207,c(-78.7417, 33.825),20604,"03040206","030402080301","03040208"
"725","Caddo","CADDO PARISH SD 7 WWTF","Outfall To Surface Waters",4000,0.5,NA,NA,0.5,NA,"Middle Red-Coushatta","North American Datum of 1983",0.00224422578787207,c(-93.8385, 32.6076),86263,"11140202","111403040303","11140304"
"726","Anderson","ANDERSON CO WW MGMNT/6 & 20","Outfall To Surface Waters",4000,0.5,NA,NA,0.5,NA,"Upper Savannah","North American Datum of 1983",0.00224422578787207,c(-82.6422, 34.6164),41090,"03060103","030601010703","03060101"
"727","Johnson","Joshua WWTP","Outfall To Surface Waters",4000,0.447,NA,NA,0.447,NA,"Middle Brazos-Lake Whitney","North American Datum of 1983",0.00224422578787207,c(-97.3519, 32.4971),97387,"12060202","120301020401","12030102"
"728","Worcester","Berlin WWTP","Outfall To Surface Waters",4000,0.39,NA,NA,0.39,0.6,"Chincoteague","North American Datum of 1983",0.00224422578787207,c(-75.2046, 38.3159),87776,"02060010","020403030401","02040303"
"729","Cameron","Olmito WWTP","Outfall To Surface Waters",4000,0.38,NA,NA,0.38,NA,"Lower Rio Grande","North American Datum of 1983",0.00224422578787207,c(-97.5061, 26.0453),30031,"13090002","121102080900","12110208"
"730","Monroe","MIDDLE SMITHFIELD TWP STP","Outfall To Surface Waters",4000,0.35,NA,NA,0.35,NA,"Upper Delaware","North American Datum of 1983",0.00224422578787207,c(-75.1415, 41.034),41742,"02040101","020401040905","02040104"
"731","Hot Spring","Hot Spring Co - Jones Mill WWTP","Outfall To Surface Waters",4000,0.313,NA,NA,0.313,NA,"Ouachita Headwaters","North American Datum of 1983",0.00224422578787207,c(-92.8785, 34.4345),37344,"08040101","080401020101","08040102"
"732","Solano","RIO VISTA WWTF","Outfall To Surface Waters",3992,0.4,NA,NA,0.4,NA,"Lower Sacramento","North American Datum of 1983",0.00223866144435871,c(-121.6954, 38.1452),102057,"18020109","180201630703","18020163"
"733","Charleston","ISLE OF PALMS S.C.","Outfall To Surface Waters",3984,0.249,NA,NA,0.249,NA,"South Carolina Coastal","North American Datum of 1983",0.00223309977644082,c(-79.7878, 32.7885),44703,"03050202","030502090204","03050209"
"734","Hot Springs","THERMOPOLIS WWTP","Outfall To Surface Waters",3954,0.27,NA,NA,0.27,NA,"Upper Bighorn","North American Datum of 1927",0.00221226742112614,c(-108.1212, 43.3854),46954,"10080007","100800050607","10080005"
"735","Garza","Post WWTP","Outfall To Surface Waters",3940,0.238,NA,NA,0.238,NA,"North Fork Double Mountain Fork Bra","North American Datum of 1983",0.00220255861231658,c(-96.5778, 33.6024),18647,"12050003","111401010103","11140101"
"736","Vieques","Vieques WWTP","Ocean Discharge",3914,0.21,NA,NA,0.21,NA,"Puerto Rican Islands","North American Datum of 1927",0.00218454994132027,c(-65.4667, 18.1486),47269,"21010006","210100080107","21010008"
"737","Monroe","Spencerport (V) WWTP","Outfall To Surface Waters",3900,0.65,NA,0.194,0.844,NA,"Oak Orchard-Twelvemile","North American Datum of 1983",0.00217486483803949,c(-77.4723, 43.1159),46126,"04130001","041401010704","04140101"
"738","Somerset","PRINCESS ANNE WWTP","Outfall To Surface Waters",3900,0.509,NA,NA,0.509,NA,"Pocomoke","North American Datum of 1983",0.00217486483803949,c(-75.6966, 38.1968),85753,"02060009","020801100403","02080110"
"739","Calumet","CHILTON STP","Outfall To Surface Waters",3881,0.56,0.2,NA,0.76,NA,"Menominee","North American Datum of 1983",0.0021617341142063,c(-88.1505, 44.033),48787,"04030108","040301010404","04030101"
"740","Wicomico","FRUITLAND WWTP","Outfall To Surface Waters",3870,0.381,NA,NA,0.381,NA,"Blackwater-Wicomico","North American Datum of 1983",0.00215413915997933,c(-75.6349, 38.3415),85747,"02060007","020801100303","02080110"
"741","Union","BELTLINE PLANT","Outfall To Surface Waters",3845,0.15,NA,NA,0.15,NA,"Upper Broad","North American Datum of 1983",0.00213689717991047,c(-81.3523, 34.4132),43752,"03050105","030501060406","03050106"
"742","Lapeer","IMLAY CITY STP","Outfall To Surface Waters",3821,0.36,NA,NA,0.36,NA,"Pigeon-Wiscoggin","North American Datum of 1983",0.00212037017054176,c(-83.07, 43.0216),25142,"04080103","040900010401","04090001"
"743","Emmet","PETOSKEY WWTP","Outfall To Surface Waters",3816,1.4,NA,NA,1.4,NA,"Lake Michigan","North American Datum of 1983",0.00211693017314581,c(-84.9713, 45.3742),37944,"04060200","040601050607","04060105"
"744","Sussex","REHOBOTH BEACH STP","Outfall To Surface Waters",3815,2,NA,NA,2,NA,"Chincoteague","North American Datum of 1983",0.002116242303423,c(-75.0924, 38.7101),21472,"02060010","020403030104","02040303"
"745","Hamilton","AURORA WWTP","Outfall To Surface Waters",3810,0.406,0.4,NA,0.806,NA,"West Fork Big Blue","North American Datum of 1927",0.00211280360406483,c(-98.0024, 40.52),68244,"10270203","102702060601","10270206"
"746","Tyler","WOODVILLE SOUTH STP","Outfall To Surface Waters",3800,0.84,NA,NA,0.84,NA,"Lower Neches","North American Datum of 1983",0.00210592945508372,c(-94.4133, 30.7681),17132,"12020003","120200060206","12020006"
"747","Somerset","CRISFIELD WWTP","Outfall To Surface Waters",3800,0.75,NA,NA,0.75,NA,"Upper Chesapeake Bay","North American Datum of 1983",0.00210592945508372,c(-75.858, 37.9704),83102,"02060001","020801100601","02080110"
"748","Windsor","WINDSOR MAIN WPC","Outfall To Surface Waters",3800,0.289,0.14,NA,0.429,NA,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00210592945508372,c(-72.3889, 43.4734),22082,"01080104","010801060304","01080106"
"749","Sussex","LAUREL STP","Outfall To Surface Waters",3800,NA,NA,NA,0.36,NA,"Nanticoke","North American Datum of 1983",0.00210592945508372,c(-75.5791, 38.5604),84263,"02060008","020801090204","02080109"
"750","Carteret","BEAUFORT WWTP","Outfall To Surface Waters",3771,0.784,NA,NA,0.784,NA,"Bogue-Core Sounds","North American Datum of 1983",0.00208601899807145,c(-76.6385, 34.7174),92077,"03020106","030203010503","03020301"
"751","Dane","MARSHALL STP","Outfall To Surface Waters",3753,0.36,NA,NA,0.36,NA,"Crawfish","North American Datum of 1983",0.00207367923606149,c(-89.0525, 43.1651),75211,"07090002","070900010802","07090001"
"752","Winnebago","ROCKTON SEWAGE TREATMENT","Outfall To Surface Waters",3750,0.22,NA,NA,0.22,NA,"Upper Rock","North American Datum of 1983",0.00207162398782065,c(-89.0813, 42.4555),10853,"07090001","070900031604","07090003"
"753","Dakota","ROSEMOUNT ADV WWTP","Outfall To Surface Waters",3741,0.29,NA,NA,0.29,NA,"Twin Cities","North American Datum of 1983",0.00206546061147763,c(-93.0242, 44.7472),85,"07010206","070400010206","07040001"
"754","Carteret","NEWPORT WWTP","Outfall To Surface Waters",3735,0.3,NA,NA,0.3,NA,"Bogue-Core Sounds","North American Datum of 1983",0.00206135366997015,c(-76.8658, 34.781),92230,"03020106","030203010402","03020301"
"755","Butler","BUFFALO TWP MUN AUTH","Outfall To Surface Waters",3731,0.41,NA,NA,0.41,NA,"Middle Allegheny-Redbank","North American Datum of 1983",0.00205861658834276,c(-79.6937, 40.7053),16260,"05010006","050100090105","05010009"
"756","Grafton","LITTLETON WWTP","Outfall To Surface Waters",3726,0.948,0.1,NA,1.048,1.413,"Upper Connecticut","North American Datum of 1983",0.00205519622661581,c(-71.7931, 44.3076),21502,"01080101","010801030403","01080103"
"757","Spartanburg","WOODRUFF/ENOREE RIVER WWTP","Outfall To Surface Waters",3725,0.4,0.01,NA,0.41,NA,"Enoree","North American Datum of 1983",0.00205451228640111,c(-82.0351, 34.7393),44066,"03050108","030501070501","03050107"
"758","Shiawassee","DURAND WWTF","Outfall To Surface Waters",3712,0.5,NA,NA,0.5,NA,"Upper Grand","North American Datum of 1983",0.00204562507675961,c(-83.9883, 42.9271),29465,"04050004","040802030203","04080203"
"759","Darlington","TOWN OF LAMAR WWTP","Outfall To Surface Waters",3703,0.63,0.02,NA,0.65,NA,"Upper Pee Dee","North American Datum of 1983",0.00203947676596673,c(-80.1292, 34.1303),43291,"03040104","030402020504","03040202"
"760","Winnebago","WINNECONNE WWTP","Outfall To Surface Waters",3699,0.4,0.02,NA,0.42,NA,"Wolf","North American Datum of 1983",0.00203674533384608,c(-88.6506, 44.0996),51183,"04030202","040302011205","04030201"
"761","Hidalgo","Edcouch WWTP","Outfall To Surface Waters",3690,0.12,NA,NA,0.12,NA,"Central Laguna Madre","North American Datum of 1983",0.00203060220399704,c(-97.935, 26.3008),29039,"12110207","121102080300","12110208"
"762","Sullivan","NEWPORT WWTF","Outfall To Surface Waters",3685,0.673,NA,NA,0.673,1.1,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00202719090701859,c(-72.1812, 43.377),22818,"01080104","010801060405","01080106"
"763","Howard","CRESCO WWTP","Outfall To Surface Waters",3669,0.42,NA,NA,0.42,NA,"Turkey","North American Datum of 1983",0.00201628222617649,c(-92.0954, 43.3912),5437,"07060004","070600020202","07060002"
"764","Whiteside","FULTON STP","Outfall To Surface Waters",3658,0.33,NA,NA,0.33,NA,"Copperas-Duck","North American Datum of 1983",0.00200878912517231,c(-89.6705, 41.7996),9963,"07080101","070900050610","07090005"
"765","Fairfield","RIDGEFIELD WPCF","Outfall To Surface Waters",3641,0.5,NA,0.1,0.6,NA,"Long Island Sound","North American Datum of 1983",0.00199721951562884,c(-73.4902, 41.2896),82756,"01100007","011000060202","01100006"
"766","Jefferson","WATERLOO WWTP","Outfall To Surface Waters",3640,0.409,NA,NA,0.409,NA,"Crawfish","North American Datum of 1983",0.00199653935342846,c(-88.9845, 43.1876),75214,"07090002","070900010804","07090001"
"767","Salem","Penns Grove Sewerage Authority","Outfall To Surface Waters",3633,0.66,NA,NA,0.66,NA,"Delaware Bay","North American Datum of 1983",0.00199177947419334,c(-75.4744, 39.7278),21096,"02040204","020402060103","02040206"
"768","Lewis","Lowville (V) STP","Outfall To Surface Waters",3632,0.655,NA,0.3,0.955,NA,"Black","North American Datum of 1983",0.0019910996710105,c(-75.4764, 43.7834),43511,"04150101","041403010901","04140301"
"769","Eastland","Cisco WWTP","Outfall To Surface Waters",3613,0.29,NA,NA,0.29,NA,"Leon","North American Datum of 1983",0.00197819195596876,c(-98.9742, 32.4043),16594,"12070201","120601050404","12060105"
"770","Harris","Fondren Road WWTP","Outfall To Surface Waters",3600,0.37,NA,NA,0.37,NA,"Lower Brazos","North American Datum of 1983",0.00196936973810281,c(-95.5155, 29.6311),97176,"12070104","120401040401","12040104"
"771","Steuben","Hamilton Lake CD WWTP","Outfall To Surface Waters",3600,0.192,NA,NA,0.192,NA,"St. Joseph","North American Datum of 1983",0.00196936973810281,c(-84.8966, 41.5333),33494,"04050001","041000030404","04100003"
"772","Union","MIFFLINBURG WWTF","Outfall To Surface Waters",3594,0.35,NA,NA,0.35,NA,"Lower Susquehanna-Penns","North American Datum of 1983",0.00196530052166083,c(-77.0433, 40.9259),29692,"02050301","020502061005","02050206"
"773","Rutland","CASTLETON WPCF","Outfall To Surface Waters",3568,0.321,NA,NA,0.321,NA,"Lake George","North American Datum of 1983",0.00194768611350887,c(-73.2104, 43.5897),45490,"02010001","043001010304","04300101"
"774","Harris","Hunters Glen WWTP","Outfall To Surface Waters",3550,0.27,NA,NA,0.27,NA,"Buffalo-San Jacinto","North American Datum of 1983",0.00193550954316134,c(-95.3185, 30.0233),18150,"12040104","120401020107","12040102"
"775","Aroostook","FORT KENT POL ABATE FAC","Outfall To Surface Waters",3540,0.41,0.05,NA,0.46,NA,"Upper St. John","North American Datum of 1983",0.00192875117703318,c(-68.6122, 47.2383),34121,"01010001","010100080505","01010008"
"776","Schoolcraft","MANISTIQUE WWTP","Outfall To Surface Waters",3535,1,NA,NA,1,NA,"Manistique","North American Datum of 1983",0.00192537371100249,c(-86.2571, 45.9543),37158,"04060106","040301130604","04030113"
"777","Lake","LAKE ZURICH-SE CS","Outfall To Surface Waters",3527,NA,NA,NA,NA,NA,"Upper Fox","Unknown",0.00191997215023059,c(-88.0728, 42.1869),6915,"07120006","071200040502","07120004"
"778","Big Horn","HARDIN WWT FACILITY","Outfall To Surface Waters",3520,0.38,NA,NA,0.38,NA,"Lower Bighorn","North American Datum of 1983",0.00191524819582197,c(-107.3452, 45.4406),90254,"10080015","100800160408","10080016"
"779","Wilkin","BRECKENRIDGE STP","Outfall To Surface Waters",3520,0.37,NA,NA,0.37,NA,"Otter Tail","North American Datum of 1983",0.00191524819582197,c(-96.5753, 46.2262),60429,"09020103","090201010506","09020101"
"780","Jackson","JACKSON STP","Outfall To Surface Waters",3501,0.43,NA,NA,0.43,NA,"Upper Des Moines","North American Datum of 1983",0.00190243740608507,c(-96.1946, 45.0098),126,"07100002","070200030502","07020003"
"781","Jefferson","MONTICELLO WWTP","Outfall To Surface Waters",3500,0.52,NA,NA,0.52,NA,"Apalachee Bay-St. Marks","North American Datum of 1983",0.00190176361530529,c(-83.866, 30.5595),13127,"03120001","031101030401","03110103"
"782","Imperial","HEBER WWTF","Outfall To Surface Waters",3500,0.27,NA,NA,0.27,NA,"Salton Sea","North American Datum of 1983",0.00190176361530529,c(-115.5251, 32.7369),23134,"18100200","181002040801","18100204"
"783","Monroe","DUNDEE STP","Outfall To Surface Waters",3499,0.41,0.06,NA,0.47,NA,"Huron","North American Datum of 1983",0.00190108987072672,c(-83.6486, 41.9573),62831,"04090005","041000020410","04100002"
"784","Harris","Crosby WWTP","Outfall To Surface Waters",3490,0.373,NA,NA,0.373,NA,"East Fork San Jacinto","North American Datum of 1983",0.00189502825023155,c(-95.0726, 29.907),97302,"12040103","120401040704","12040104"
"785","Newberry","Town of Whitmire/Ducan Creek Plant","Outfall To Surface Waters",3457,0.18,NA,NA,0.18,NA,"Saluda","North American Datum of 1983",0.0018728344517123,c(-81.6142, 34.502),41118,"03050109","030501080303","03050108"
"786","Lee","Marianna - East WWTP","Outfall To Surface Waters",3452,0.35,NA,NA,0.35,NA,"L'anguille","North American Datum of 1983",0.00186947617646015,c(-90.7443, 34.777),28737,"08020205","080202031607","08020203"
"787","Washington","CHIPLEY STP","Outfall To Surface Waters",3449,NA,NA,NA,0.33,NA,"Lower Choctawhatchee","North American Datum of 1983",0.0018674617714905,c(-85.3302, 30.4649),85441,"03140203","031300120504","03130012"
"788","Nemaha","AUBURN WWTP","Outfall To Surface Waters",3443,0.33,NA,NA,0.33,NA,"Big Nemaha","North American Datum of 1983",0.00186343422325617,c(-95.8388, 40.3939),69498,"10240008","102400060405","10240006"
"789","Ross","Pleasant Valley RSD WWTP & Sewers","Outfall To Surface Waters",3432,0.542,NA,NA,0.542,NA,"Lower Scioto","North American Datum of 1983",0.00185605476049775,c(-83.0504, 39.3559),17736,"05060002","050600030904","05060003"
"790","Essex","Rockport Dept. of Public Works","Outfall To Surface Waters",3431,NA,NA,NA,0.41,NA,"Merrimack","North American Datum of 1983",0.00185538418141128,c(-70.6195, 42.652),1547,"01070002","010900010305","01090001"
"791","Charleston","SULLIVANS ISLAND PLANT","Outfall To Surface Waters",3400,0.561,NA,NA,0.561,NA,"South Carolina Coastal","North American Datum of 1983",0.00183461954668362,c(-79.8508, 32.7592),41883,"03050202","030502010707","03050201"
"792","Galveston","Kemah WWTP","Outfall To Surface Waters",3400,0.49,0.07,NA,0.56,NA,"North Galveston Bay","North American Datum of 1983",0.00183461954668362,c(-95.0114, 29.5348),94276,"12040203","120402040100","12040204"
"793","Marshall","ARAB GILLIAM CREEK WWTP","Outfall To Surface Waters",3400,0.52,NA,NA,0.52,NA,"Wheeler Lake","North American Datum of 1983",0.00183461954668362,c(-86.4944, 34.2919),37703,"06030002","031601090101","03160109"
"794","Marion","JASPER LAGOON","Outfall To Surface Waters",3400,0.41,NA,NA,0.41,2.49,"Sequatchie","North American Datum of 1983",0.00183461954668362,c(-85.6444, 35.0445),37283,"06020004","060300010201","06030001"
"795","Sherburne","BECKER WWTP","Outfall To Surface Waters",3395,0.2,NA,NA,0.2,NA,"Mississippi Headwaters","North American Datum of 1983",0.00183127465458023,c(-93.8626, 45.3937),94063,"07010101","070102030505","07010203"
"796","Hamilton","MSD Indian Creek Drainage Basin","Outfall To Surface Waters",3393,0.28,NA,NA,0.28,NA,"Lower Great Miami","North American Datum of 1983",0.00182993702864724,c(-84.7488, 39.1497),86046,"05080002","050902030204","05090203"
"797","Brooke","WELLSBURG WWTP","Outfall To Surface Waters",3385,0.385,0.05,NA,0.435,NA,"Upper Ohio","North American Datum of 1983",0.00182458841793908,c(-80.6154, 40.2656),45942,"05030101","050301061202","05030106"
"798","St. Tammany","WEST BANK STP   #1","Outfall To Surface Waters",3370,0.3,NA,NA,0.3,NA,"Lower Big Black","North American Datum of 1983",0.0018145679518153,c(-90.6642, 30.04),86054,"08060202","080903010204","08090301"
"799","New Madrid","NEW MADRID WWTP","Outfall To Surface Waters",3350,0.3,NA,NA,0.3,NA,"New Madrid-St. Johns","North American Datum of 1983",0.00180122397896597,c(-89.5501, 36.5822),29582,"08020201","080202040615","08020204"
"800","Warren","KINZUA WARREN - CLARENDON BORO STP","Outfall To Surface Waters",3325,0.25,NA,NA,0.25,NA,"Upper Allegheny","North American Datum of 1983",0.00178457089109353,c(-79.0956, 41.782),16317,"05010001","050100030305","05010003"
"801","Caldwell","COLUMBIA HEIGHTS LAGOON","Outfall To Surface Waters",3325,0.15,NA,NA,0.15,NA,"Lower Ouachita","North American Datum of 1983",0.00178457089109353,c(-92.0901, 32.0496),86716,"08040207","080403020202","08040302"
"802","Chittenden","MILTON W P C","Outfall To Surface Waters",3321,0.204,0.08,NA,0.284,NA,"Lamoille","North American Datum of 1983",0.00178190917878563,c(-73.1243, 44.6312),45484,"02010005","043001050306","04300105"
"803","Penobscot","DEXTER TREATMENT PLANT","Outfall To Surface Waters",3312,0.2,NA,NA,0.2,NA,"Piscataquis","North American Datum of 1983",0.00177592313995287,c(-69.2399, 45.0144),64498,"01020004","010200050703","01020005"
"804","Fulton","Swanton WWTP & Sewer System","Outfall To Surface Waters",3307,0.97,0.04,NA,1.01,NA,"Lower Maumee","North American Datum of 1983",0.00177259924864609,c(-84.3051, 41.519),69731,"04100009","041000060303","04100006"
"805","Washington","MIDWAY STP","Outfall To Surface Waters",3285,0.328,NA,NA,0.328,NA,"Lower Monongahela","North American Datum of 1983",0.00175798847182932,c(-80.2481, 40.3634),19845,"05020005","050301010106","05030101"
"806","Lamoille","JOHNSON WPC","Outfall To Surface Waters",3274,0.149,NA,NA,0.149,NA,"Lamoille","North American Datum of 1983",0.00175069187542515,c(-72.7367, 44.6807),44783,"02010005","043001050303","04300105"
"807","Platte","WHEATLAND WWTP","Outfall To Surface Waters",3271,0.3,NA,NA,0.3,NA,"Glendo Reservoir","North American Datum of 1983",0.00174870291467206,c(-104.8782, 42.0758),75137,"10180008","101800110806","10180011"
"808","Rutland","FAIRHAVEN WT","Outfall To Surface Waters",3270,0.195,0.02,NA,0.215,NA,"Lake George","North American Datum of 1983",0.00174804002501802,c(-73.2791, 43.5926),45490,"02010001","043001010304","04300101"
"809","Grays Harbor","MONTESANO WWPCP","Outfall To Surface Waters",3232,0.67,NA,NA,0.67,NA,"Lower Chehalis","North American Datum of 1983",0.00172288637217703,c(-123.6021, 46.8818),48255,"17100104","171001060106","17100106"
"810","Mississippi","EAST PRAIRIE WWTP","Outfall To Surface Waters",3227,0.4,NA,NA,0.4,NA,"New Madrid-St. Johns","North American Datum of 1983",0.0017195819440506,c(-89.3665, 36.7815),34777,"08020201","080103000104","08010300"
"811","McDonough","Bushnell, East WWTP","Outfall To Surface Waters",3221,0.3,NA,NA,0.3,NA,"La Moine","North American Datum of 1983",0.00171561825213156,c(-90.5078, 40.5523),9844,"07130010","071300051203","07130005"
"812","Steuben","Erwin (T) STP & Onsite Systems","Outfall To Surface Waters",3200,0.504,0.03,NA,0.534,NA,"Chemung","North American Datum of 1983",0.00170175929856527,c(-77.0947, 42.153),30072,"02050105","020501040910","02050104"
"813","Coconino","WILLIAMS WWTF","Outfall To Surface Waters",3200,0.516,NA,NA,0.516,NA,"Grand Canyon","North American Datum of 1927",0.00170175929856527,c(-112.1864, 35.2507),25639,"15010002","150100040502","15010004"
"814","Lake","Lake Co Heatherstone WWTP","Outfall To Surface Waters",3200,0.5,NA,NA,0.5,NA,"Grand","North American Datum of 1983",0.00170175929856527,c(-81.3353, 41.7189),71778,"04110004","041100030501","04110003"
"815","Edwards","ALBION STP","Outfall To Surface Waters",3200,0.33,NA,NA,0.33,NA,"Lower Wabash","North American Datum of 1983",0.00170175929856527,c(-88.0643, 38.374),457,"05120113","051201140905","05120114"
"816","Nueces","BISHOP STP","Outfall To Surface Waters",3200,0.09,NA,NA,0.09,NA,"Baffin Bay","North American Datum of 1983",0.00170175929856527,c(-97.7983, 27.5625),55461,"12110205","121102040408","12110204"
"817","Pike","BOWLING GREEN WWTP","Outfall To Surface Waters",3185,0.3,NA,NA,0.3,NA,"Salt","North American Datum of 1927",0.00169187339321843,c(-91.1331, 39.2036),62432,"07110007","071100080206","07110008"
"818","St. John the Baptist","GARYVILLE WWTP","Outfall To Surface Waters",3181,0.8,NA,NA,0.8,NA,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.00168923903624958,c(-90.6244, 30.0722),102155,"08070100","080702040302","08070204"
"819","Liberty","West Cleveland","Outfall To Surface Waters",3160,0.38,NA,NA,0.38,NA,"Lower Trinity-Kickapoo","North American Datum of 1983",0.00167542172132713,c(-95.1, 30.3339),96983,"12030202","120401030401","12040103"
"820","Hardeman","Quanah WWTP","Outfall To Surface Waters",3145,0.267,NA,NA,0.267,NA,"Middle North Fork Red","North American Datum of 1983",0.0016655656859984,c(-99.7284, 34.2997),23746,"11120302","111301010108","11130101"
"821","Robeson","MAXTON WWTP","Outfall To Surface Waters",3135,0.36,0.01,NA,0.37,NA,"Lumber","North American Datum of 1983",0.00165900125743679,c(-79.3637, 34.713),92566,"03040203","030402040305","03040204"
"822","Essex","Port Henry (V) STP","Outfall To Surface Waters",3132,0.264,NA,0.145,0.409,NA,"Lake George","North American Datum of 1983",0.00165703290789339,c(-73.4598, 44.0342),45547,"02010001","043001080303","04300108"
"823","Itasca","COLERAINE-BOVEY-TACONITE WWTF","Outfall To Surface Waters",3126,NA,NA,NA,0.229,NA,"Mississippi Headwaters","North American Datum of 1983",0.00165309756646284,c(-93.421, 47.3),22157,"07010101","070101030404","07010103"
"824","Rutland","BRANDON WWTF","Outfall To Surface Waters",3122,0.331,NA,NA,0.331,0.653,"Otter","North American Datum of 1983",0.00165047501223959,c(-73.0899, 43.7915),45666,"02010002","043001020303","04300102"
"825","Monroe","CARLETON LAGOON","Outfall To Surface Waters",3103,0.44,NA,NA,0.44,NA,"Raisin","North American Datum of 1983",0.00163802890413875,c(-83.3812, 42.0636),63139,"04100002","041000010103","04100001"
